"totalAcc","totalPert","totalAccNorm","totalPertNorm","pPert","pAcc","pORA","pComb","pPert.fdr","pAcc.fdr","pORA.fdr","pComb.fdr"
"path:hsa05010",17.9071588984014,129.196529055578,0.581027083065059,3.27774080571792,0.00497512437810945,0.557213930348259,1.69329175770889e-05,1.45653047709275e-06,0.0140089028541503,0.694797616854002,0.00369137603180539,0.000311697522097849
"path:hsa05110",21.2821828889441,84.1897331965331,5.46463357217284,6.0188764470908,0.00497512437810945,0.00497512437810945,0.000112273632750964,8.60087324807539e-06,0.0140089028541503,0.0324185523992939,0.0122378259698551,0.000920293437544067
"path:hsa04145",0,102.937990035586,NA,6.75086347430504,0.00497512437810945,NA,0.000242494176227376,1.7647589404903e-05,0.0140089028541503,NA,0.016599259068062,0.00125886137754975
"path:hsa04722",60.0857298792414,120.607094703498,1.92798032046219,3.20488419352722,0.00497512437810945,0.0597014925373134,0.000331286409465208,2.359522707074e-05,0.0140089028541503,0.114854299928927,0.016599259068062,0.00126234464828459
"path:hsa05100",67.5830916338602,132.08113396684,3.66227913396905,5.23045898795027,0.00995024875621891,0.0149253731343284,0.000458654495762439,6.06855625163025e-05,0.0199004975124378,0.0478559583037195,0.016599259068062,0.00188179181883843
"path:hsa05152",140.10374078342,233.840750465215,6.53372213477106,7.49602724039091,0.00497512437810945,0.00497512437810945,0.00108212734448849,7.06996934960695e-05,0.0140089028541503,0.0324185523992939,0.0214457964634992,0.00188179181883843
"path:hsa05418",82.4620939435691,152.233283969852,4.39197496152082,5.44639276591999,0.00497512437810945,0.00995024875621891,0.0011880050806005,7.70653853532044e-05,0.0140089028541503,0.0401990049751244,0.0215820922975758,0.00188179181883843
"path:hsa04932",26.5915667733986,110.04968972409,0.325576123741753,2.53634491329717,0.0149253731343284,0.716417910447761,0.000430569106716742,8.32546839979067e-05,0.0255522388059701,0.826950959488273,0.016599259068062,0.00188179181883843
"path:hsa03015",0,54.0725309089718,-0.703022081262234,3.07939827555776,0.00995024875621891,0.174129353233831,0.000682148766647854,8.75622482181938e-05,0.0199004975124378,0.272667669404913,0.016599259068062,0.00188179181883843
"path:hsa05016",4.18749988126639,123.288513567112,-0.130253949941451,3.71350596238464,0.00995024875621891,0.920398009950249,0.000685290511984209,8.79341971419827e-05,0.0199004975124378,0.94857345923444,0.016599259068062,0.00188179181883843
"path:hsa05131",179.743604068548,335.007121058411,5.94799205288079,8.23257724296848,0.00497512437810945,0.00497512437810945,0.00173105725767436,0.000109050818385038,0.0140089028541503,0.0324185523992939,0.0290284986286931,0.00205832048175911
"path:hsa05165",123.376539645195,223.04262306972,3.92514109892064,4.76695811905338,0.00497512437810945,0.00995024875621891,0.00193653110923993,0.000120914323135503,0.0140089028541503,0.0401990049751244,0.0291888871749067,0.00205832048175911
"path:hsa04390",74.278899182124,132.789921365509,3.46220345280072,4.19099211488461,0.00497512437810945,0.00995024875621891,0.00200840966799817,0.000125038160106862,0.0140089028541503,0.0401990049751244,0.0291888871749067,0.00205832048175911
"path:hsa04071",51.017088690939,117.665524361606,1.19859925342903,2.362731164192,0.0348258706467662,0.134328358208955,0.000536162151856816,0.000221985217146679,0.0460045451753578,0.217074626865672,0.016599259068062,0.00339320260495638
"path:hsa04015",52.6046822514934,142.410716912107,1.52632476849905,4.77194943574169,0.00497512437810945,0.0995024875621891,0.00523598875107195,0.000301017370690905,0.0140089028541503,0.170334766843747,0.0475602311555702,0.00429451448852358
"path:hsa04210",60.5814073060761,142.290494426977,1.13918135204673,2.98349103774991,0.0149253731343284,0.228855721393035,0.00285067537001322,0.000470782313177452,0.0255522388059701,0.327864224974419,0.0388404519164302,0.0060011708478456
"path:hsa04141",7.43936739912189,123.805839097671,-0.421990514932653,4.93464341844916,0.00497512437810945,0.681592039800995,0.00875904020896442,0.00048113598968669,0.0140089028541503,0.791273517470121,0.0578627504713407,0.0060011708478456
"path:hsa05163",151.393301497451,261.118117465259,4.59071231409914,6.17045074729513,0.00497512437810945,0.00497512437810945,0.00944194703984967,0.000515121531911647,0.0140089028541503,0.0324185523992939,0.0595852639586406,0.0060011708478456
"path:hsa04218",146.969256493617,241.864349213565,5.49862153494109,7.34647377506493,0.00497512437810945,0.00497512437810945,0.00985807783145337,0.000535708988928534,0.0140089028541503,0.0324185523992939,0.0596961379793565,0.0060011708478456
"path:hsa05012",33.7033898700753,113.306780857127,2.376482845668,3.16370891862836,0.0149253731343284,0.0447761194029851,0.00363908247056568,0.00058772356818283,0.0255522388059701,0.0962210225468403,0.0400326364345621,0.0060011708478456
"path:hsa05120",23.2900532582172,66.719176633047,2.22498877706108,3.25616572612709,0.0149253731343284,0.0298507462686567,0.00367271893895065,0.000592651616507439,0.0255522388059701,0.0726488041719115,0.0400326364345621,0.0060011708478456
"path:hsa05212",33.9516333957934,74.7606930902594,2.14964041990994,3.02909302993957,0.0199004975124378,0.0497512437810945,0.00328340714006898,0.00069496394147331,0.0310854486690634,0.104684908789386,0.039765708696391,0.0060011708478456
"path:hsa01522",89.3706490345124,147.937016175065,2.99702015227451,4.05853307429625,0.00995024875621891,0.0149253731343284,0.00677879326357336,0.000715254685631985,0.0199004975124378,0.0478559583037195,0.0533213784139717,0.0060011708478456
"path:hsa04931",75.2960726682229,117.056006366901,4.19259851892943,4.13120848408061,0.00497512437810945,0.00497512437810945,0.0137633904238979,0.000725080605340786,0.0140089028541503,0.0324185523992939,0.0761700314251129,0.0060011708478456
"path:hsa05160",83.2778167795166,141.596582457242,3.0576325951424,3.35579375900045,0.0149253731343284,0.0149253731343284,0.0046234099648301,0.000730175506854081,0.0255522388059701,0.0478559583037195,0.0475602311555702,0.0060011708478456
"path:hsa04810",44.5626656811355,133.808896241391,1.18419732594467,4.05617446306969,0.00995024875621891,0.213930348258706,0.00697463861055709,0.000733942434938489,0.0199004975124378,0.313144422813469,0.0533213784139717,0.0060011708478456
"path:hsa05323",1.15189274203902,47.2763442750621,-0.167278354801583,5.00071483441447,0.00497512437810945,0.845771144278607,0.0147385025065775,0.000771432058562016,0.0140089028541503,0.903945879070257,0.0767108367151647,0.0060011708478456
"path:hsa05135",85.5272812809332,150.056580398172,3.58781043884331,4.65559041396664,0.00497512437810945,0.0149253731343284,0.0150294710698301,0.000785199924017181,0.0140089028541503,0.0478559583037195,0.0767108367151647,0.0060011708478456
"path:hsa05200",121.182720249788,287.546342988276,3.7650952454384,6.8283215258386,0.00497512437810945,0.00497512437810945,0.0169326224419333,0.000874584110508279,0.0140089028541503,0.0324185523992939,0.0823372323133052,0.00625987000657501
"path:hsa05164",34.3227432314628,125.976299985332,0.415921554998665,3.47059017323373,0.00497512437810945,0.676616915422886,0.016996217679352,0.000877551870080609,0.0140089028541503,0.790038248066028,0.0823372323133052,0.00625987000657501
"path:hsa04014",62.6399700322049,126.317631095448,2.02313312353968,3.44108771128671,0.00497512437810945,0.0398009950248756,0.0183132716891474,0.000938754174746357,0.0140089028541503,0.0903348426407289,0.0856437664132679,0.00638713317416034
"path:hsa03013",0.123113212160421,116.612939979975,-1.60798087869756,7.94604900162715,0.00497512437810945,0.0895522388059701,0.0186664689397732,0.000955085334453883,0.0140089028541503,0.158680282796544,0.0856437664132679,0.00638713317416034
"path:hsa04217",66.362228916646,147.533759884638,3.77703153149864,5.78555836506116,0.00497512437810945,0.00995024875621891,0.0204784225134058,0.00103835672387362,0.0140089028541503,0.0401990049751244,0.0892859221584492,0.00673358602754411
"path:hsa05416",6.90487242224852,44.042613082294,0.31897105984504,3.26417632509241,0.0149253731343284,0.73134328358209,0.00779890092915036,0.00117082048756735,0.0255522388059701,0.834640357534362,0.0548438839533799,0.00736928189233565
"path:hsa05166",62.7192278797107,178.158854876372,1.7651694832624,4.52628104832389,0.00497512437810945,0.0696517412935323,0.0249139780840815,0.00123895988040677,0.0140089028541503,0.12790592492085,0.093599936413195,0.00757535469734427
"path:hsa05223",51.2537313868812,98.505571784306,2.04327466657655,3.09170416714303,0.0199004975124378,0.054726368159204,0.00677879326357336,0.0013370028749805,0.0310854486690634,0.111663902708679,0.0533213784139717,0.00792203906444133
"path:hsa04270",49.9430213712699,89.175373988051,3.54976175355719,4.46860379007778,0.00497512437810945,0.00995024875621891,0.0298081843746605,0.0014557482601318,0.0140089028541503,0.0401990049751244,0.101534128026187,0.00792203906444133
"path:hsa04919",22.9059576212793,92.0780269036158,0.344332926790728,2.72154077403017,0.0199004975124378,0.676616915422886,0.00745611592632044,0.00145646228324937,0.0310854486690634,0.790038248066028,0.0541811090645952,0.00792203906444133
"path:hsa04714",76.6349598376095,212.350795522806,2.27418975308897,4.57684692585275,0.00995024875621891,0.0447761194029851,0.0151310365997802,0.00147563966023506,0.0199004975124378,0.0962210225468403,0.0767108367151647,0.00792203906444133
"path:hsa04611",133.388326113926,203.214029216234,3.65313474587791,4.90504426757175,0.00497512437810945,0.00995024875621891,0.030601286289247,0.00149048332329447,0.0140089028541503,0.0401990049751244,0.102632006323936,0.00792203906444133
