"pathNames" "pPert" "pPert.fdr"
"path:hsa03013" "RNA transport" 0.00497512437810945 0.0140089028541503
"path:hsa04014" "Ras signaling pathway" 0.00497512437810945 0.0140089028541503
"path:hsa04015" "Rap1 signaling pathway" 0.00497512437810945 0.0140089028541503
"path:hsa04020" "Calcium signaling pathway" 0.00497512437810945 0.0140089028541503
"path:hsa04060" "Cytokine-cytokine receptor interaction" 0.00497512437810945 0.0140089028541503
"path:hsa04061" "Viral protein interaction with cytokine and cytokine receptor" 0.00497512437810945 0.0140089028541503
"path:hsa04064" "NF-kappa B signaling pathway" 0.00497512437810945 0.0140089028541503
"path:hsa04066" "HIF-1 signaling pathway" 0.00497512437810945 0.0140089028541503
"path:hsa04072" "Phospholipase D signaling pathway" 0.00497512437810945 0.0140089028541503
"path:hsa04110" "Cell cycle" 0.00497512437810945 0.0140089028541503
"path:hsa04141" "Protein processing in endoplasmic reticulum" 0.00497512437810945 0.0140089028541503
"path:hsa04144" "Endocytosis" 0.00497512437810945 0.0140089028541503
"path:hsa04145" "Phagosome" 0.00497512437810945 0.0140089028541503
"path:hsa04151" "PI3K-Akt signaling pathway" 0.00497512437810945 0.0140089028541503
"path:hsa04216" "Ferroptosis" 0.00497512437810945 0.0140089028541503
"path:hsa04217" "Necroptosis" 0.00497512437810945 0.0140089028541503
"path:hsa04218" "Cellular senescence" 0.00497512437810945 0.0140089028541503
"path:hsa04261" "Adrenergic signaling in cardiomyocytes" 0.00497512437810945 0.0140089028541503
"path:hsa04270" "Vascular smooth muscle contraction" 0.00497512437810945 0.0140089028541503
"path:hsa04390" "Hippo signaling pathway" 0.00497512437810945 0.0140089028541503
"path:hsa04530" "Tight junction" 0.00497512437810945 0.0140089028541503
"path:hsa04611" "Platelet activation" 0.00497512437810945 0.0140089028541503
"path:hsa04612" "Antigen processing and presentation" 0.00497512437810945 0.0140089028541503
"path:hsa04666" "Fc gamma R-mediated phagocytosis" 0.00497512437810945 0.0140089028541503
