"totalAcc","totalPert","totalAccNorm","totalPertNorm","pPert","pAcc","pORA","pComb","pPert.fdr","pAcc.fdr","pORA.fdr","pComb.fdr"
"path:hsa04914",0,7.88202720882787,NA,1.99673169441819,0.054726368159204,NA,0.000705595837550188,0.000431012527445214,0.221185737976783,NA,0.0230494640266395,0.00644985931171398
"path:hsa04137",6.96642076214042,9.20562743568555,2.76317828211812,2.76317828211812,0.00497512437810945,0.00497512437810945,0.0269542868227079,0.00132986789932247,0.0253993191935062,0.0199004975124378,0.0880506702875123,0.00644985931171398
"path:hsa04215",6.7176200206354,8.95682669418053,2.38626083621414,2.38626083621414,0.00497512437810945,0.00497512437810945,0.0269542868227079,0.00132986789932247,0.0253993191935062,0.0199004975124378,0.0880506702875123,0.00644985931171398
"path:hsa04620",0,2.23920667354513,NA,2.39727906676202,0.00497512437810945,NA,0.0269542868227079,0.00132986789932247,0.0253993191935062,NA,0.0880506702875123,0.00644985931171398
"path:hsa04622",0,2.23920667354513,NA,2.83218750801616,0.00497512437810945,NA,0.0269542868227079,0.00132986789932247,0.0253993191935062,NA,0.0880506702875123,0.00644985931171398
"path:hsa04657",0,2.23920667354513,NA,2.34941298307152,0.00497512437810945,NA,0.0269542868227079,0.00132986789932247,0.0253993191935062,NA,0.0880506702875123,0.00644985931171398
"path:hsa04664",0,2.23920667354513,NA,2.66049819230098,0.00497512437810945,NA,0.0269542868227079,0.00132986789932247,0.0253993191935062,NA,0.0880506702875123,0.00644985931171398
"path:hsa04668",0,2.23920667354513,NA,2.37408370999363,0.00497512437810945,NA,0.0269542868227079,0.00132986789932247,0.0253993191935062,NA,0.0880506702875123,0.00644985931171398
"path:hsa04910",11.6834797184294,13.9226863919745,2.3817088055275,2.3817088055275,0.00497512437810945,0.00497512437810945,0.0269542868227079,0.00132986789932247,0.0253993191935062,0.0199004975124378,0.0880506702875123,0.00644985931171398
"path:hsa04912",2.23920667354513,4.47841334709027,2.78369306166876,2.78369306166876,0.00497512437810945,0.00497512437810945,0.0269542868227079,0.00132986789932247,0.0253993191935062,0.0199004975124378,0.0880506702875123,0.00644985931171398
"path:hsa04920",2.23920667354513,4.47841334709027,2.54108113013133,2.54108113013133,0.00497512437810945,0.00497512437810945,0.0269542868227079,0.00132986789932247,0.0253993191935062,0.0199004975124378,0.0880506702875123,0.00644985931171398
"path:hsa04926",2.23920667354513,4.47841334709027,2.79328849324849,2.79328849324849,0.00497512437810945,0.00497512437810945,0.0269542868227079,0.00132986789932247,0.0253993191935062,0.0199004975124378,0.0880506702875123,0.00644985931171398
"path:hsa04930",4.47841334709027,6.7176200206354,2.66099280455553,2.66099280455553,0.00497512437810945,0.00497512437810945,0.0269542868227079,0.00132986789932247,0.0253993191935062,0.0199004975124378,0.0880506702875123,0.00644985931171398
"path:hsa04933",3.31738766966474,5.55659434320988,2.57553482116198,2.57553482116198,0.00497512437810945,0.00497512437810945,0.0269542868227079,0.00132986789932247,0.0253993191935062,0.0199004975124378,0.0880506702875123,0.00644985931171398
"path:hsa05120",5.03821501547655,7.27742168902168,2.505927286183,2.505927286183,0.00497512437810945,0.00497512437810945,0.0269542868227079,0.00132986789932247,0.0253993191935062,0.0199004975124378,0.0880506702875123,0.00644985931171398
"path:hsa05133",2.23920667354513,4.47841334709027,2.93291041070834,2.93291041070834,0.00497512437810945,0.00497512437810945,0.0269542868227079,0.00132986789932247,0.0253993191935062,0.0199004975124378,0.0880506702875123,0.00644985931171398
"path:hsa05135",4.47841334709027,6.7176200206354,2.77330775230522,2.77330775230522,0.00497512437810945,0.00497512437810945,0.0269542868227079,0.00132986789932247,0.0253993191935062,0.0199004975124378,0.0880506702875123,0.00644985931171398
"path:hsa05162",4.47841334709027,6.7176200206354,2.5665881049305,2.5665881049305,0.00497512437810945,0.00497512437810945,0.0269542868227079,0.00132986789932247,0.0253993191935062,0.0199004975124378,0.0880506702875123,0.00644985931171398
"path:hsa05210",0,2.23920667354513,NA,2.4256036696336,0.00497512437810945,NA,0.0269542868227079,0.00132986789932247,0.0253993191935062,NA,0.0880506702875123,0.00644985931171398
"path:hsa05212",0,2.23920667354513,NA,2.7716194321565,0.00497512437810945,NA,0.0269542868227079,0.00132986789932247,0.0253993191935062,NA,0.0880506702875123,0.00644985931171398
"path:hsa05169",33.1549033045688,44.2176453496458,0.824672889835106,0.858745386102041,0.388059701492537,0.402985074626866,0.000705595837550188,0.00251992142610883,0.768199817240329,0.659680321795279,0.0230494640266395,0.0116396370634551
"path:hsa04068",4.47841334709027,21.0798267798432,2.61655426945282,1.31504720347791,0.18407960199005,0.00497512437810945,0.00211106639780285,0.00344029373567642,0.469887405079864,0.0199004975124378,0.0517211267461697,0.0151685678345733
