"pathNames" "pPert" "pPert.fdr"
"path:hsa04137" "Mitophagy - animal" 0.00497512437810945 0.0253993191935062
"path:hsa04215" "Apoptosis - multiple species" 0.00497512437810945 0.0253993191935062
"path:hsa04620" "Toll-like receptor signaling pathway" 0.00497512437810945 0.0253993191935062
"path:hsa04622" "RIG-I-like receptor signaling pathway" 0.00497512437810945 0.0253993191935062
"path:hsa04657" "IL-17 signaling pathway" 0.00497512437810945 0.0253993191935062
"path:hsa04664" "Fc epsilon RI signaling pathway" 0.00497512437810945 0.0253993191935062
"path:hsa04668" "TNF signaling pathway" 0.00497512437810945 0.0253993191935062
"path:hsa04910" "Insulin signaling pathway" 0.00497512437810945 0.0253993191935062
"path:hsa04912" "GnRH signaling pathway" 0.00497512437810945 0.0253993191935062
"path:hsa04920" "Adipocytokine signaling pathway" 0.00497512437810945 0.0253993191935062
"path:hsa04926" "Relaxin signaling pathway" 0.00497512437810945 0.0253993191935062
"path:hsa04930" "Type II diabetes mellitus" 0.00497512437810945 0.0253993191935062
"path:hsa04933" "AGE-RAGE signaling pathway in diabetic complications" 0.00497512437810945 0.0253993191935062
"path:hsa05120" "Epithelial cell signaling in Helicobacter pylori infection" 0.00497512437810945 0.0253993191935062
"path:hsa05133" "Pertussis" 0.00497512437810945 0.0253993191935062
"path:hsa05135" "Yersinia infection" 0.00497512437810945 0.0253993191935062
"path:hsa05162" "Measles" 0.00497512437810945 0.0253993191935062
"path:hsa05210" "Colorectal cancer" 0.00497512437810945 0.0253993191935062
"path:hsa05212" "Pancreatic cancer" 0.00497512437810945 0.0253993191935062
"path:hsa04080" "Neuroactive ligand-receptor interaction" 0.0199004975124378 0.0965174129353234
"path:hsa04931" "Insulin resistance" 0.0398009950248756 0.175486205336952
"path:hsa04972" "Pancreatic secretion" 0.0398009950248756 0.175486205336952
"path:hsa05130" "Pathogenic Escherichia coli infection" 0.0447761194029851 0.188838416612589
"path:hsa04914" "Progesterone-mediated oocyte maturation" 0.054726368159204 0.221185737976783
"path:hsa05170" "Human immunodeficiency virus 1 infection" 0.0646766169154229 0.250945273631841
"path:hsa04917" "Prolactin signaling pathway" 0.0696517412935323 0.259854573287409
"path:hsa04724" "Glutamatergic synapse" 0.0796019900497512 0.27346600331675
"path:hsa04310" "Wnt signaling pathway" 0.0845771144278607 0.27346600331675
"path:hsa04360" "Axon guidance" 0.0845771144278607 0.27346600331675
"path:hsa05206" "MicroRNAs in cancer" 0.0845771144278607 0.27346600331675
"path:hsa04022" "cGMP-PKG signaling pathway" 0.0895522388059701 0.280211844005778
"path:hsa04261" "Adrenergic signaling in cardiomyocytes" 0.109452736318408 0.331778606965174
"path:hsa04020" "Calcium signaling pathway" 0.119402985074627 0.350972410673903
"path:hsa04970" "Salivary secretion" 0.129353233830846 0.369037167105648
"path:hsa05165" "Human papillomavirus infection" 0.144278606965174 0.399857853589197
"path:hsa04270" "Vascular smooth muscle contraction" 0.154228855721393 0.415561083471531
"path:hsa05202" "Transcriptional misregulation in cancer" 0.174129353233831 0.4565012773968
"path:hsa04068" "FoxO signaling pathway" 0.18407960199005 0.469887405079864
"path:hsa04218" "Cellular senescence" 0.194029850746269 0.470522388059701
"path:hsa04935" "Growth hormone synthesis, secretion and action" 0.194029850746269 0.470522388059701
"path:hsa04510" "Focal adhesion" 0.199004975124378 0.470816648464992
"path:hsa04144" "Endocytosis" 0.243781094527363 0.56301824212272
"path:hsa05145" "Toxoplasmosis" 0.293532338308458 0.643449419568823
"path:hsa04012" "ErbB signaling pathway" 0.298507462686567 0.643449419568823
"path:hsa04014" "Ras signaling pathway" 0.298507462686567 0.643449419568823
"path:hsa04024" "cAMP signaling pathway" 0.313432835820896 0.657139832751138
"path:hsa05166" "Human T-cell leukemia virus 1 infection" 0.318407960199005 0.657139832751138
"path:hsa04210" "Apoptosis" 0.358208955223881 0.723880597014925
"path:hsa05169" "Epstein-Barr virus infection" 0.388059701492537 0.768199817240329
"path:hsa04530" "Tight junction" 0.412935323383085 0.801094527363184
"path:hsa05030" "Cocaine addiction" 0.432835820895522 0.823236757389523
"path:hsa04932" "Non-alcoholic fatty liver disease (NAFLD)" 0.447761194029851 0.835246842709529
"path:hsa05218" "Melanoma" 0.462686567164179 0.846803717262743
"path:hsa04141" "Protein processing in endoplasmic reticulum" 0.482587064676617 0.851108095884215
"path:hsa05231" "Choline metabolism in cancer" 0.482587064676617 0.851108095884215
"path:hsa05220" "Chronic myeloid leukemia" 0.512437810945274 0.880509732041547
"path:hsa04659" "Th17 cell differentiation" 0.517412935323383 0.880509732041547
"path:hsa05219" "Bladder cancer" 0.532338308457711 0.890289929662035
"path:hsa01522" "Endocrine resistance" 0.54726368159204 0.899738595159794
"path:hsa05214" "Glioma" 0.587064676616915 0.919931592039801
"path:hsa04721" "Synaptic vesicle cycle" 0.601990049751244 0.919931592039801
"path:hsa05163" "Human cytomegalovirus infection" 0.601990049751244 0.919931592039801
"path:hsa05418" "Fluid shear stress and atherosclerosis" 0.601990049751244 0.919931592039801
"path:hsa01524" "Platinum drug resistance" 0.606965174129353 0.919931592039801
"path:hsa04010" "MAPK signaling pathway" 0.646766169154229 0.926045448433508
"path:hsa04151" "PI3K-Akt signaling pathway" 0.646766169154229 0.926045448433508
"path:hsa05034" "Alcoholism" 0.666666666666667 0.926045448433508
"path:hsa04728" "Dopaminergic synapse" 0.686567164179104 0.926045448433508
"path:hsa05215" "Prostate cancer" 0.686567164179104 0.926045448433508
"path:hsa04140" "Autophagy - animal" 0.691542288557214 0.926045448433508
"path:hsa04217" "Necroptosis" 0.691542288557214 0.926045448433508
"path:hsa05131" "Shigellosis" 0.691542288557214 0.926045448433508
"path:hsa04071" "Sphingolipid signaling pathway" 0.701492537313433 0.926045448433508
"path:hsa04722" "Neurotrophin signaling pathway" 0.706467661691542 0.926045448433508
"path:hsa05203" "Viral carcinogenesis" 0.716417910447761 0.926567164179104
"path:hsa04658" "Th1 and Th2 cell differentiation" 0.736318407960199 0.933837306971635
"path:hsa05168" "Herpes simplex virus 1 infection" 0.741293532338308 0.933837306971635
"path:hsa04660" "T cell receptor signaling pathway" 0.776119402985075 0.965174129353234
"path:hsa04380" "Osteoclast differentiation" 0.786069651741294 0.965174129353234
"path:hsa05012" "Parkinson disease" 0.805970149253731 0.976944545564859
"path:hsa05031" "Amphetamine addiction" 0.81592039800995 0.976944545564859
"path:hsa04115" "p53 signaling pathway" 0.825870646766169 0.976944545564859
"path:hsa04919" "Thyroid hormone signaling pathway" 0.840796019900497 0.982617035305401
"path:hsa05167" "Kaposi sarcoma-associated herpesvirus infection" 0.860696517412935 0.993899549869699
"path:hsa05016" "Huntington disease" 0.880597014925373 0.995653312385441
"path:hsa04621" "NOD-like receptor signaling pathway" 0.91044776119403 0.995653312385441
"path:hsa04110" "Cell cycle" 0.930348258706468 0.995653312385441
"path:hsa05205" "Proteoglycans in cancer" 0.930348258706468 0.995653312385441
"path:hsa05161" "Hepatitis B" 0.940298507462687 0.995653312385441
"path:hsa05200" "Pathways in cancer" 0.940298507462687 0.995653312385441
"path:hsa05152" "Tuberculosis" 0.945273631840796 0.995653312385441
"path:hsa05142" "Chagas disease (American trypanosomiasis)" 0.950248756218905 0.995653312385441
"path:hsa05132" "Salmonella infection" 0.960199004975124 0.995653312385441
"path:hsa04726" "Serotonergic synapse" 0.965174129353234 0.995653312385441
"path:hsa04723" "Retrograde endocannabinoid signaling" 0.975124378109453 0.995653312385441
"path:hsa05322" "Systemic lupus erythematosus" 0.995024875621891 1
"path:hsa04625" "C-type lectin receptor signaling pathway" 1 1
"path:hsa04750" "Inflammatory mediator regulation of TRP channels" NA NA
